Squad,Gender,Comp,From,To,Comps,Champs,Other Names
Hércules CF,M,,1996-1997,2022-2023,10,0,Hércules de Alicante CF
Huracán Valencia CF,M,,2015-2016,2015-2016,0,0,Huracán CF
Internacional de Madrid CF,M,,2018-2019,2021-2022,0,0,CF Internacional de Madrid
Juventud Torremolinos CF,M,,2022-2023,2022-2023,0,,
Las Rozas CF,M,,2019-2020,2022-2023,0,0,
Levante UD,M,Segunda División,2001-2002,2022-2023,22,2,
Levante UD Femenino,F,Liga F,2021-2022,2022-2023,1,,
Linares Deportivo,M,,2015-2016,2022-2023,0,0,
Lleida Esportiu,M,,2014-2015,2022-2023,0,0,Club
Lorca Deportiva CF,M,,2005-2006,2006-2007,2,0,
Lorca FC,M,,2014-2015,2018-2019,1,0,
Madrid CF Femenino,F,Liga F,2022-2023,2022-2023,1,,
Málaga CF,M,Segunda División,1999-2000,2022-2023,24,0,
Marbella FC,M,,2014-2015,2020-2021,0,0,
Marino de Luanco,M,,2014-2015,2019-2020,0,0,Club Marino de Luanco
Melilla CD,M,,2019-2020,2022-2023,0,0,
Mérida AD,M,,2015-2016,2022-2023,0,0,
Miengo FC,M,,2020-2021,2020-2021,0,0,
Montilla CF,M,,2022-2023,2022-2023,0,,
Mora CF,M,,2021-2022,2021-2022,0,0,
Móstoles CF,M,,2020-2021,2020-2021,0,0,
Nalón CF,M,,2021-2022,2021-2022,0,0,
Náxara CD,M,,2021-2022,2021-2022,0,0,
Ontinyent CF,M,,2018-2019,2018-2019,0,0,
Orihuela CF,M,,2019-2020,2019-2020,0,0,
Ourense CF,M,,2020-2021,2022-2023,0,0,
PD Santa Eularia,M,,2014-2015,2014-2015,0,0,
Peña Sport FC,M,,2015-2016,2021-2022,0,0,
Polideportivo Ejido,M,,2001-2002,2007-2008,7,0,
Pontevedra CF,M,,2004-2005,2022-2023,1,0,
Racing de Ferrol,M,,2001-2002,2022-2023,5,0,Racing Club de Ferrol
Racing de Santander,M,Segunda División,1992-1993,2022-2023,23,0,
Racing Murcia FC,M,,2020-2021,2020-2021,0,0,
Racing Rioja CF,M,,2020-2021,2022-2023,0,0,
Rápido de Bouzas,M,,2017-2018,2018-2019,0,0,Club
Rayo Vallecano,M,La Liga,1989-1990,2022-2023,25,1,
RCD Espanyol,M,La Liga,1988-1989,2022-2023,33,1,
RCD Mallorca,M,La Liga,1988-1989,2022-2023,28,0,
Real Avilés,M,,2014-2015,2017-2018,0,0,CF
Real Balompédica Linense,M,,2014-2015,2020-2021,0,0,
Real Betis,M,La Liga,1988-1989,2022-2023,30,2,
Real Betis Féminas,F,Liga F,2022-2023,2022-2023,1,,
Real Burgos CF,M,,1990-1991,1992-1993,3,0,
Real Jaén,M,,2001-2002,2019-2020,2,0,Real Jaén CF
Real Madrid Castilla,M,,2005-2006,2013-2014,4,0,
Real Madrid CF,M,La Liga,1988-1989,2022-2023,35,12,
Real Madrid CF Femenino,F,Liga F,2021-2022,2022-2023,1,0,
Real Murcia CF,M,,1988-1989,2022-2023,13,1,
Real Oviedo,M,Segunda División,1988-1989,2022-2023,23,0,
Real Sociedad,M,La Liga,1988-1989,2022-2023,35,1,
Real Sociedad B,M,,2021-2022,2021-2022,1,,
Real Sociedad Femenino,F,Liga F,2022-2023,2022-2023,1,,
Real Titánico,M,,2020-2021,2020-2021,0,0,
Real Unión,M,,2009-2010,2022-2023,1,0,Real Unión Club
Real Valladolid,M,La Liga,1988-1989,2022-2023,34,1,
Real Zaragoza,M,Segunda División,1988-1989,2022-2023,35,0,
Recreativo de Huelva,M,,2001-2002,2022-2023,14,1,RC Recreativo de Huelva
San Fernando CD,M,,2020-2021,2021-2022,0,0,
SCD Durango,M,,2017-2018,2018-2019,0,0,
SCR Peña Deportiva,M,,2019-2020,2022-2023,0,0,
SD Amorebieta,M,,2014-2015,2022-2023,1,0,
SD Beasain,M,,2022-2023,2022-2023,0,,
SD Compostela,M,,1993-1994,2020-2021,5,0,
SD Eibar,M,Segunda División,2001-2002,2022-2023,17,1,
SD Formentera,M,,2015-2016,2017-2018,0,0,
SD Huesca,M,Segunda División,2008-2009,2022-2023,13,1,
SD Leioa,M,,2014-2015,2021-2022,0,0,
SD Logroñés,M,,2019-2020,2021-2022,0,0,
SD Ponferradina,M,Segunda División,2006-2007,2022-2023,10,0,
SD Tarazona,M,,2017-2018,2020-2021,0,0,
SE Penya Independent,M,,2021-2022,2021-2022,0,0,
Sestao River Club,M,,2014-2015,2022-2023,0,0,
Sevilla Atlético,M,,2007-2008,2017-2018,4,0,
Sevilla FC,M,La Liga,1988-1989,2022-2023,32,0,
Sevilla FC Femenino,F,Liga F,2022-2023,2022-2023,1,,
Solares SD,M,,2021-2022,2021-2022,0,0,
Sporting de Gijón,M,Segunda División,1988-1989,2022-2023,32,0,
Sporting de Huelva,F,Liga F,2022-2023,2022-2023,1,,
Terrassa FC,M,,2002-2003,2020-2021,3,0,
Tolosa CF,M,,2019-2020,2019-2020,0,0,
Turégano CF,M,,2022-2023,2022-2023,0,,
UB Conquense,M,,2016-2017,2018-2019,0,0,
UC Ceares,M,,2021-2022,2021-2022,0,0,
UCAM Murcia CF,M,,2014-2015,2021-2022,1,0,
UD Almería,M,La Liga,2002-2003,2022-2023,21,1,
UD Alzira,M,,2021-2022,2022-2023,0,0,
UD Fraga,M,,2019-2020,2019-2020,0,0,
UD Gran Tarajal,M,,2019-2020,2019-2020,0,0,
UD Granadilla Tenerife,F,Liga F,2022-2023,2022-2023,1,,
UD Guía,M,,2020-2021,2020-2021,0,0,
UD Ibiza,M,Segunda División,2019-2020,2022-2023,2,0,
UD Las Palmas,M,Segunda División,1997-1998,2022-2023,21,0,
UD Llanera,M,,2020-2021,2021-2022,0,0,
UD Logroñés,M,,2015-2016,2022-2023,1,0,
UD Melilla,M,,2015-2016,2019-2020,0,0,
UD Montijo,M,,2021-2022,2021-2022,0,0,
UD Mutilvera,M,,2018-2019,2020-2021,0,0,
UD Poblense,M,,2018-2019,2020-2021,0,0,
UD Salamanca,M,,1994-1995,2010-2011,12,0,
UD San Fernando,M,,2017-2018,2017-2018,0,0,
UD San Sebastián de los Reyes,M,,2016-2017,2021-2022,0,0,
UD Socuéllamos,M,,2015-2016,2020-2021,0,0,Yugo
UD Somozas,M,,2014-2015,2014-2015,0,0,
UD Tamaraceite,M,,2019-2020,2019-2020,0,0,
UD Tomares,M,,2020-2021,2020-2021,0,0,
UD Vecindario,M,,2006-2007,2006-2007,1,0,
UD Villa de Santa Brígida,M,,2016-2017,2016-2017,0,0,
UE Cornellà,M,,2014-2015,2021-2022,0,0,
UE Figueres,M,,1991-1992,1991-1992,0,0,
UE Llagostera,M,,2014-2015,2020-2021,2,0,
UE Lleida,M,,1993-1994,2005-2006,3,0,
UE Olot,M,,2017-2018,2022-2023,0,0,
UE Sant Andreu,M,,2018-2019,2018-2019,0,0,
UM Escobedo,M,,2019-2020,2019-2020,0,0,
Unami Club Polideportivo,M,,2021-2022,2021-2022,0,0,
Unionistas de Salamanca CF,M,,2018-2019,2021-2022,0,0,
Universitario FC,M,,2022-2023,2022-2023,0,,
UP Langreo,M,,2018-2019,2019-2020,0,0,
Urraca CF,M,,2019-2020,2019-2020,0,0,
Valencia CF,M,La Liga,1988-1989,2022-2023,35,2,
Valencia CF Femenino,F,Liga F,2022-2023,2022-2023,1,,
Vélez CF,M,,2021-2022,2021-2022,0,0,
Victoria CF,M,,2021-2022,2021-2022,0,0,
Villarreal CF,M,La Liga,1997-1998,2022-2023,24,0,
Villarreal CF B,M,Segunda División,2009-2010,2022-2023,4,0,
Villarreal CF Femenino,F,Liga F,2022-2023,2022-2023,1,,
Villarrubia CF,M,,2019-2020,2019-2020,0,0,
Xerez CD,M,,2001-2002,2012-2013,12,1,
Xerez Deportivo FC,M,,2021-2022,2021-2022,0,0,
Yeclano Deportivo,M,,2018-2019,2022-2023,0,0,
Zamora CF,M,,2014-2015,2021-2022,0,0,
Zamudio SD,M,,2016-2017,2016-2017,0,0,
