,league_name,year,transfer_period,fee_cleaned
214,Liga Nos,2019,Winter,26.45
215,Liga Nos,2020,Summer,169.29
216,Liga Nos,2020,Winter,32.1
217,Liga Nos,2021,Summer,83.92
218,Liga Nos,2021,Winter,18.15
219,Liga Nos,2022,Summer,178.79
220,Ligue 1,1992,Summer,23.398
221,Ligue 1,1992,Winter,0.0
222,Ligue 1,1993,Summer,6.28
223,Ligue 1,1993,Winter,4.5
224,Ligue 1,1994,Summer,9.4
225,Ligue 1,1994,Winter,0.0
226,Ligue 1,1995,Summer,4.85
227,Ligue 1,1995,Winter,0.0
228,Ligue 1,1996,Summer,15.95
229,Ligue 1,1996,Winter,1.38
230,Ligue 1,1997,Summer,34.72
231,Ligue 1,1997,Winter,17.33
232,Ligue 1,1998,Summer,57.66
233,Ligue 1,1998,Winter,3.8
234,Ligue 1,1999,Summer,97.19
235,Ligue 1,1999,Winter,21.05
236,Ligue 1,2000,Summer,197.98
237,Ligue 1,2000,Winter,35.49
238,Ligue 1,2001,Summer,140.87
239,Ligue 1,2001,Winter,30.5
240,Ligue 1,2002,Summer,67.88
241,Ligue 1,2002,Winter,7.0
242,Ligue 1,2003,Summer,97.93
243,Ligue 1,2003,Winter,10.25
244,Ligue 1,2004,Summer,135.713
245,Ligue 1,2004,Winter,5.94
246,Ligue 1,2005,Summer,160.83
247,Ligue 1,2005,Winter,18.43
248,Ligue 1,2006,Summer,159.96
249,Ligue 1,2006,Winter,47.025
250,Ligue 1,2007,Summer,221.55
251,Ligue 1,2007,Winter,40.6
252,Ligue 1,2008,Summer,232.81
253,Ligue 1,2008,Winter,17.925
254,Ligue 1,2009,Summer,252.7
255,Ligue 1,2009,Winter,18.768
256,Ligue 1,2010,Summer,139.865
257,Ligue 1,2010,Winter,14.05
258,Ligue 1,2011,Summer,192.94
259,Ligue 1,2011,Winter,54.0
260,Ligue 1,2012,Summer,197.2
261,Ligue 1,2012,Winter,63.2
262,Ligue 1,2013,Summer,360.33
263,Ligue 1,2013,Winter,53.25
264,Ligue 1,2014,Summer,141.22
265,Ligue 1,2014,Winter,35.3
266,Ligue 1,2015,Summer,330.165
267,Ligue 1,2015,Winter,35.04
268,Ligue 1,2016,Summer,200.92
269,Ligue 1,2016,Winter,171.3
270,Ligue 1,2017,Summer,696.155
271,Ligue 1,2017,Winter,55.25
272,Ligue 1,2018,Summer,636.58
273,Ligue 1,2018,Winter,87.02000000000001
274,Ligue 1,2019,Summer,712.415
275,Ligue 1,2019,Winter,128.2
276,Ligue 1,2020,Summer,444.87
277,Ligue 1,2020,Winter,22.22
278,Ligue 1,2021,Summer,395.42
279,Ligue 1,2021,Winter,69.42
280,Ligue 1,2022,Summer,560.55
281,Premier League,1992,Summer,49.11
282,Premier League,1992,Winter,12.543
283,Premier League,1993,Summer,62.805
284,Premier League,1993,Winter,23.281
285,Premier League,1994,Summer,87.206
286,Premier League,1994,Winter,49.727
287,Premier League,1995,Summer,152.069
288,Premier League,1995,Winter,53.079
289,Premier League,1996,Summer,132.408
290,Premier League,1996,Winter,45.685
291,Premier League,1997,Summer,189.12
292,Premier League,1997,Winter,63.144
293,Premier League,1998,Summer,227.114
294,Premier League,1998,Winter,145.201
295,Premier League,1999,Summer,249.727
296,Premier League,1999,Winter,66.23
297,Premier League,2000,Summer,381.835
298,Premier League,2000,Winter,103.255
299,Premier League,2001,Summer,458.865
300,Premier League,2001,Winter,121.595
301,Premier League,2002,Summer,281.76
302,Premier League,2002,Winter,53.71
303,Premier League,2003,Summer,332.39
304,Premier League,2003,Winter,91.915
305,Premier League,2004,Summer,418.205
306,Premier League,2004,Winter,92.44
307,Premier League,2005,Summer,391.63
308,Premier League,2005,Winter,112.205
309,Premier League,2006,Summer,451.625
310,Premier League,2006,Winter,95.33
311,Premier League,2007,Summer,733.255
312,Premier League,2007,Winter,207.96
313,Premier League,2008,Summer,668.295
314,Premier League,2008,Winter,189.47
315,Premier League,2009,Summer,552.93
316,Premier League,2009,Winter,40.74
317,Premier League,2010,Summer,433.81
318,Premier League,2010,Winter,267.5
319,Premier League,2011,Summer,549.43
320,Premier League,2011,Winter,89.613
321,Premier League,2012,Summer,627.575
322,Premier League,2012,Winter,147.45
323,Premier League,2013,Summer,759.425
324,Premier League,2013,Winter,164.982
325,Premier League,2014,Summer,1072.867
326,Premier League,2014,Winter,160.838
327,Premier League,2015,Summer,1217.47
328,Premier League,2015,Winter,255.18
329,Premier League,2016,Summer,1385.725
330,Premier League,2016,Winter,276.54
331,Premier League,2017,Summer,1616.82
332,Premier League,2017,Winter,561.4
333,Premier League,2018,Summer,1446.96
334,Premier League,2018,Winter,205.1
335,Premier League,2019,Summer,1550.045
336,Premier League,2019,Winter,247.25
337,Premier League,2020,Summer,1439.52
338,Premier League,2020,Winter,96.74
339,Premier League,2021,Summer,1337.51
340,Premier League,2021,Winter,357.1
341,Premier League,2022,Summer,2247.57
342,Premier Liga,1992,Summer,0.0
343,Premier Liga,1992,Winter,0.0
344,Premier Liga,1993,Summer,0.0
345,Premier Liga,1993,Winter,0.135
346,Premier Liga,1994,Summer,0.0
347,Premier Liga,1994,Winter,0.0
348,Premier Liga,1995,Summer,0.04
349,Premier Liga,1995,Winter,0.025
350,Premier Liga,1996,Summer,0.415
351,Premier Liga,1996,Winter,0.755
352,Premier Liga,1997,Summer,0.11
353,Premier Liga,1997,Winter,2.08
354,Premier Liga,1998,Summer,0.0
355,Premier Liga,1998,Winter,1.6
356,Premier Liga,1999,Summer,0.505
357,Premier Liga,1999,Winter,0.78
358,Premier Liga,2000,Summer,2.27
359,Premier Liga,2000,Winter,4.408
360,Premier Liga,2001,Summer,5.025
361,Premier Liga,2001,Winter,8.545
362,Premier Liga,2002,Summer,4.925
363,Premier Liga,2002,Winter,22.5
364,Premier Liga,2003,Summer,19.6
365,Premier Liga,2003,Winter,34.845
366,Premier Liga,2004,Summer,39.875
367,Premier Liga,2004,Winter,51.8
368,Premier Liga,2005,Summer,69.435
369,Premier Liga,2005,Winter,61.75
370,Premier Liga,2006,Summer,26.78
371,Premier Liga,2006,Winter,69.21
372,Premier Liga,2007,Summer,54.865
373,Premier Liga,2007,Winter,72.095
374,Premier Liga,2008,Summer,77.35
375,Premier Liga,2008,Winter,63.16
376,Premier Liga,2009,Summer,48.0
377,Premier Liga,2009,Winter,68.798
378,Premier Liga,2010,Summer,148.115
379,Premier Liga,2010,Winter,70.455
380,Premier Liga,2011,Summer,145.85
381,Premier Liga,2011,Winter,86.375
