Squad,Gender,Comp,From,To,Comps,Champs,Other Names
CS Plédranais,M,,2017-2018,2021-2022,0,0,
CS Sedan Ardennes,M,,1999-2000,2021-2022,9,0,
CS Volvic,M,,2015-2016,2018-2019,0,0,
CSC Cayenne,M,,2019-2020,2021-2022,0,0,
CSM Gennevilliers,M,,2019-2020,2019-2020,0,0,
CSO Amnéville,M,,2017-2018,2020-2021,0,0,CSO 1919 Amnéville
Diables Noirs de Combani,M,,2017-2018,2022-2023,0,0,
Dijon FCO,F,Championnat de France de Football Féminin,2018-2019,2022-2023,5,,
Dijon FCO,M,Ligue 2,2009-2010,2022-2023,14,0,
Dinan-Léhon FC,M,,2014-2015,2021-2022,0,0,
ÉDS Montluçon,M,,2018-2019,2021-2022,0,0,Montluçon Football
EF Reims Sainte-Anne Chatillons,M,,2014-2015,2022-2023,0,0,
Eglantine Vierzon,M,,2014-2015,2014-2015,0,0,Églantine Vierzonnaise Football
Elan de Gorges Football,M,,2020-2021,2020-2021,0,0,
En Avant de Guingamp,F,Championnat de France de Football Féminin,2017-2018,2022-2023,6,,
En Avant de Guingamp,M,Ligue 2,1995-1996,2022-2023,20,0,
En Avant Saint-Renan,M,,2020-2021,2020-2021,0,0,
En Avante de St. Renen,M,,2015-2016,2015-2016,0,0,
Entente Boé Bon Encontre F.,M,,2022-2023,2022-2023,0,,
Entente Centre Ornain FC,M,,2016-2017,2016-2017,0,0,
Entente Crest-Aouste,M,,2018-2019,2018-2019,0,0,
Entente Itancourt-Neuville,M,,2017-2018,2020-2021,0,0,
Entente Saint-Clément-Montferrier,M,,2020-2021,2020-2021,0,0,
Entente SFC Falaise,M,,2020-2021,2020-2021,0,0,
Entente UGA Ardziv,M,,2019-2020,2019-2020,0,0,
Ernéenne Foot,M,,2016-2017,2016-2017,0,0,
ES Anzin-Saint-Aubin,M,,2021-2022,2021-2022,0,0,
ES Bonchamp,M,,2014-2015,2016-2017,0,0,
ES Bully,M,,2021-2022,2021-2022,0,0,
ES Cannet-Rocheville,M,,2021-2022,2021-2022,0,0,
ES Chilly,M,,2019-2020,2019-2020,0,0,
ES Gandrange,M,,2022-2023,2022-2023,0,,
ES Guérétoise,M,,2015-2016,2021-2022,0,0,
ES Heillecourt,M,,2018-2019,2022-2023,0,0,
ES La Rochelle,M,,2014-2015,2015-2016,0,0,
ES Lambres-lez-Douai,M,,2020-2021,2020-2021,0,0,
ES Molsheim Ernolsheim,M,,2021-2022,2021-2022,0,0,
ES Nanterre,M,,2019-2020,2021-2022,0,0,
ES Parisienne,M,,2016-2017,2016-2017,0,0,
ES Paulhan-Pézenas,M,,2014-2015,2016-2017,0,0,
ES Tarentaise,M,,2017-2018,2022-2023,0,0,
ES Thaon,M,,2017-2018,2022-2023,0,0,
ES Villerupt Thil,M,,2014-2015,2022-2023,0,0,
ES Viry-Châtillon,M,,2015-2016,2018-2019,0,0,
ES Wasquehal,M,,2015-2016,2022-2023,0,0,Wasquehal Football
ES Zacharienne,M,,2020-2021,2020-2021,0,0,
